OrganisationLabel,OrganisationURI,PublishedDate,DurationFrom,DurationTo,LatestData,OffersOrAdmissions,IntakeDescription,Month,Year,SchoolType,DfECode,SchoolName,Preference1,Preference2,Preference3,Preference4,TotalPreferences,PupilAdmissionNumber_PAN,FreePlaces
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-04-25T00:00:00,2019-04-16T00:00:00,2019-04-16T00:00:00,TRUE,Offers,Year 3 Intake,2019-09,2019,Junior,9252074,Branston Junior Academy,31,1,0,0,32,45,13
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-04-25T00:00:00,2019-04-16T00:00:00,2019-04-16T00:00:00,TRUE,Offers,Year 3 Intake,2019-09,2019,Junior,9252207,Gainsborough White's Wood Academy,56,1,0,2,59,60,1
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-04-25T00:00:00,2019-04-16T00:00:00,2019-04-16T00:00:00,TRUE,Offers,Year 3 Intake,2019-09,2019,Junior,9252158,Grainthorpe Junior School,8,0,0,1,9,15,6
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-04-25T00:00:00,2019-04-16T00:00:00,2019-04-16T00:00:00,TRUE,Offers,Year 3 Intake,2019-09,2019,Junior,9253308,Grantham The National Church of England Junior School,86,0,0,6,92,128,36
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-04-25T00:00:00,2019-04-16T00:00:00,2019-04-16T00:00:00,TRUE,Offers,Year 3 Intake,2019-09,2019,Junior,9252229,Holton-le-Clay Junior School,26,0,0,4,30,45,15
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-04-25T00:00:00,2019-04-16T00:00:00,2019-04-16T00:00:00,TRUE,Offers,Year 3 Intake,2019-09,2019,Junior,9252245,Lincoln Birchwood Junior School,85,0,0,5,90,90,0
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-04-25T00:00:00,2019-04-16T00:00:00,2019-04-16T00:00:00,TRUE,Offers,Year 3 Intake,2019-09,2019,Junior,9252136,Lincoln Manor Leas Junior Academy,63,0,0,9,72,90,18
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-04-25T00:00:00,2019-04-16T00:00:00,2019-04-16T00:00:00,TRUE,Offers,Year 3 Intake,2019-09,2019,Junior,9253107,Lincoln St Faith and St Martin Church of England Junior School,71,0,0,12,83,90,7
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-04-25T00:00:00,2019-04-16T00:00:00,2019-04-16T00:00:00,TRUE,Offers,Year 3 Intake,2019-09,2019,Junior,9255224,Lincoln Westgate Academy,100,1,0,6,107,120,13
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-04-25T00:00:00,2019-04-16T00:00:00,2019-04-16T00:00:00,TRUE,Offers,Year 3 Intake,2019-09,2019,Junior,9255206,Louth Lacey Gardens Junior Academy,76,0,0,11,87,90,3
